Please enter your Tenant Name: Traceback (most recent call last):
  File "/home/csc792/FwaaS-VPC-Containerzed/north_bound/firewallPolicies.py", line 51, in <module>
    tenant_name = input("Please enter your Tenant Name: ") 
EOFError: EOF when reading a line
The FirewallPolicies has run successfully at 2023-04-28 02:47:01.577893
The FirewallPolicies has run successfully at 2023-04-28 02:57:01.690492
The FirewallPolicies has run successfully at 2023-04-28 03:07:01.798326
The FirewallPolicies has run successfully at 2023-04-28 03:17:01.906632
The FirewallPolicies has run successfully at 2023-04-28 03:27:02.013551
The FirewallPolicies has run successfully at 2023-04-28 03:37:01.125282
The FirewallPolicies has run successfully at 2023-04-28 03:47:01.232509
The FirewallPolicies has run successfully at 2023-04-28 03:57:01.339875
The FirewallPolicies has run successfully at 2023-04-28 04:07:01.446356
The FirewallPolicies has run successfully at 2023-04-28 04:17:01.556750
The FirewallPolicies has run successfully at 2023-04-28 04:27:01.663840
The FirewallPolicies has run successfully at 2023-04-28 04:37:01.772719
The FirewallPolicies has run successfully at 2023-04-28 04:47:01.881054
The FirewallPolicies has run successfully at 2023-04-28 04:57:01.995937
The FirewallPolicies has run successfully at 2023-04-28 05:07:01.104767
The FirewallPolicies has run successfully at 2023-04-28 05:17:01.214032
The FirewallPolicies has run successfully at 2023-04-28 05:27:01.322352
The FirewallPolicies has run successfully at 2023-04-28 05:37:01.428692
The FirewallPolicies has run successfully at 2023-04-28 05:47:01.536983
The FirewallPolicies has run successfully at 2023-04-28 05:57:01.644920
The FirewallPolicies has run successfully at 2023-04-28 06:07:01.751881
The FirewallPolicies has run successfully at 2023-04-28 06:17:01.860280
The FirewallPolicies has run successfully at 2023-04-28 06:27:01.133056
The FirewallPolicies has run successfully at 2023-04-28 06:37:01.272968
The FirewallPolicies has run successfully at 2023-04-28 06:47:01.382442
The FirewallPolicies has run successfully at 2023-04-28 06:57:01.492810
The FirewallPolicies has run successfully at 2023-04-28 07:07:01.601181
The FirewallPolicies has run successfully at 2023-04-28 07:17:01.713570
The FirewallPolicies has run successfully at 2023-04-28 07:27:01.825814
The FirewallPolicies has run successfully at 2023-04-28 07:37:01.934208
The FirewallPolicies has run successfully at 2023-04-28 07:47:01.044158
The FirewallPolicies has run successfully at 2023-04-28 07:57:01.152450
The FirewallPolicies has run successfully at 2023-04-28 08:07:01.259854
The FirewallPolicies has run successfully at 2023-04-28 08:17:01.367547
The FirewallPolicies has run successfully at 2023-04-28 08:27:01.474289
The FirewallPolicies has run successfully at 2023-04-28 08:37:01.581772
The FirewallPolicies has run successfully at 2023-04-28 08:47:01.690925
The FirewallPolicies has run successfully at 2023-04-28 08:57:01.801564
The FirewallPolicies has run successfully at 2023-04-28 09:07:01.910861
The FirewallPolicies has run successfully at 2023-04-28 09:17:02.017700
The FirewallPolicies has run successfully at 2023-04-28 09:27:01.124525
The FirewallPolicies has run successfully at 2023-04-28 09:37:01.230565
The FirewallPolicies has run successfully at 2023-04-28 09:47:01.336683
The FirewallPolicies has run successfully at 2023-04-28 09:57:01.442818
The FirewallPolicies has run successfully at 2023-04-28 10:07:01.548902
The FirewallPolicies has run successfully at 2023-04-28 10:17:01.655528
The FirewallPolicies has run successfully at 2023-04-28 10:27:01.762705
The FirewallPolicies has run successfully at 2023-04-28 10:37:01.869458
The FirewallPolicies has run successfully at 2023-04-28 10:47:01.976566
The FirewallPolicies has run successfully at 2023-04-28 10:57:01.081762
The FirewallPolicies has run successfully at 2023-04-28 11:07:01.186335
The FirewallPolicies has run successfully at 2023-04-28 11:17:01.297122
The FirewallPolicies has run successfully at 2023-04-28 11:27:01.403330
The FirewallPolicies has run successfully at 2023-04-28 11:37:01.509263
The FirewallPolicies has run successfully at 2023-04-28 11:47:01.616413
The FirewallPolicies has run successfully at 2023-04-28 11:57:01.722930
The FirewallPolicies has run successfully at 2023-04-28 12:07:01.828658
The FirewallPolicies has run successfully at 2023-04-28 12:17:01.935301
The FirewallPolicies has run successfully at 2023-04-28 12:27:01.040786
The FirewallPolicies has run successfully at 2023-04-28 12:37:01.157019
The FirewallPolicies has run successfully at 2023-04-28 12:47:01.263105
The FirewallPolicies has run successfully at 2023-04-28 12:57:01.367867
The FirewallPolicies has run successfully at 2023-04-28 13:07:01.475088
The FirewallPolicies has run successfully at 2023-04-28 13:17:01.580447
The FirewallPolicies has run successfully at 2023-04-28 13:27:01.686569
The FirewallPolicies has run successfully at 2023-04-28 13:37:01.792760
The FirewallPolicies has run successfully at 2023-04-28 13:47:01.908839
The FirewallPolicies has run successfully at 2023-04-28 13:57:02.018995
The FirewallPolicies has run successfully at 2023-04-28 14:07:01.125193
The FirewallPolicies has run successfully at 2023-04-28 14:17:01.237225
The FirewallPolicies has run successfully at 2023-04-28 14:27:01.344012
The FirewallPolicies has run successfully at 2023-04-28 14:37:01.452071
The FirewallPolicies has run successfully at 2023-04-28 14:47:01.561862
The FirewallPolicies has run successfully at 2023-04-28 14:57:01.668810
The FirewallPolicies has run successfully at 2023-04-28 15:07:01.774283
The FirewallPolicies has run successfully at 2023-04-28 15:17:01.881963
The FirewallPolicies has run successfully at 2023-04-28 15:27:01.989896
The FirewallPolicies has run successfully at 2023-04-28 15:37:01.097882
